✓ Initialized. View run at 
https://modal.com/apps/jmwright-045/main/ap-fQQKVq5aNgclIGwjNZ2126
✓ Created objects.
├── 🔨 Created mount 
│   /home/ec2-user/css/kernel/kernel-of-truth/poc/modal/modal_e5.py
├── 🔨 Created mount /home/ec2-user/css/kernel/kernel-of-truth/poc/e5/inputs
├── 🔨 Created mount 
│   /home/ec2-user/css/kernel/kernel-of-truth/poc/e5/runner/requirements.txt
├── 🔨 Created mount 
│   /home/ec2-user/css/kernel/kernel-of-truth/poc/e5/runner/e5_runner.py
├── 🔨 Created mount PythonPackage:modal_common
├── 🔨 Created function run_e5_t4.
└── 🔨 Created function run_e5_a10g.
kot-e5 via Modal: gpu=A10G mock=False (12 staged files, runner 0fadb8b4b14e…)
[e5     3.5s] mode=FULL device=cuda seeds=[0, 1, 2, 3, 4] steps=2000 sweep=[0.0003, 0.001, 0.003]@1000 batch=32
[e5    11.3s] sequences: 1800 train / 200 val / 500 seen-eval / 120 nonce-eval
[e5    11.3s] sweep arm=true lr=0.0003
[e5  1832.9s]     step 500/2000 loss 2.4573
[e5  1840.5s]     step 550/2000 loss 2.3360
[e5  1848.5s]     step 600/2000 loss 2.3801
[e5  1856.4s]     step 650/2000 loss 2.6055
[e5  1864.3s]     step 700/2000 loss 2.3844
[e5  1872.2s]     step 750/2000 loss 2.1935
[e5  1880.0s]     step 800/2000 loss 2.1901
[e5  1887.8s]     step 850/2000 loss 2.1146
[e5  1895.7s]     step 900/2000 loss 2.1837
[e5  1903.6s]     step 950/2000 loss 2.3075
[e5  1911.5s]     step 1000/2000 loss 2.2628
[e5  1919.4s]     step 1050/2000 loss 2.1177
[e5  1927.3s]     step 1100/2000 loss 2.0011
[e5  1935.2s]     step 1150/2000 loss 2.2427
[e5  1943.2s]     step 1200/2000 loss 1.9905
[e5  1951.1s]     step 1250/2000 loss 1.8928
[e5  1958.9s]     step 1300/2000 loss 1.9982
[e5  1966.8s]     step 1350/2000 loss 2.1227
[e5  1974.7s]     step 1400/2000 loss 2.0771
[e5  1982.6s]     step 1450/2000 loss 1.8073
[e5  1990.5s]     step 1500/2000 loss 2.1003
[e5  1998.3s]     step 1550/2000 loss 1.8358
[e5  2006.3s]     step 1600/2000 loss 1.9230
[e5  2014.1s]     step 1650/2000 loss 2.0891
[e5  2022.1s]     step 1700/2000 loss 1.8347
[e5  2029.9s]     step 1750/2000 loss 2.1635
[e5  2037.7s]     step 1800/2000 loss 1.9779
[e5  2045.5s]     step 1850/2000 loss 1.9412
[e5  2053.3s]     step 1900/2000 loss 2.0301
[e5  2061.1s]     step 1950/2000 loss 2.0102
[e5  2068.8s]     step 1999/2000 loss 2.0458
[e5  2075.2s]   arm=true seed=1: seenAcc=0.7980 nonceAcc=0.4583 valCE=2.2948
[e5  2075.2s] train arm=true seed=2 lr=0.003
[e5  2076.5s]     step 0/2000 loss 4.3271
[e5  2084.5s]     step 50/2000 loss 3.7693
[e5  2092.4s]     step 100/2000 loss 3.2971
[e5  2100.1s]     step 150/2000 loss 3.1222
[e5  2107.9s]     step 200/2000 loss 2.8886
[e5  2115.7s]     step 250/2000 loss 2.7962
[e5  2123.5s]     step 300/2000 loss 3.0095
[e5  2131.3s]     step 350/2000 loss 2.4225
[e5  2139.2s]     step 400/2000 loss 2.6300
[e5  2146.9s]     step 450/2000 loss 2.5512
[e5  2154.7s]     step 500/2000 loss 2.3296
[e5  2162.6s]     step 550/2000 loss 2.3530
[e5  2170.3s]     step 600/2000 loss 2.2283
[e5  2178.1s]     step 650/2000 loss 2.2998
[e5  2186.0s]     step 700/2000 loss 2.4091
[e5  2193.4s]     step 750/2000 loss 2.3658
[e5  2201.3s]     step 800/2000 loss 2.0809
[e5  2209.1s]     step 850/2000 loss 2.3627
[e5  2216.8s]     step 900/2000 loss 2.2466
[e5  2224.7s]     step 950/2000 loss 2.3911
[e5  2232.5s]     step 1000/2000 loss 2.0885
[e5  2240.2s]     step 1050/2000 loss 2.3063
[e5  2247.9s]     step 1100/2000 loss 2.0430
[e5  2256.0s]     step 1150/2000 loss 2.2468
[e5  2263.9s]     step 1200/2000 loss 2.1559
[e5  2271.6s]     step 1250/2000 loss 2.2121
[e5  2279.5s]     step 1300/2000 loss 1.7994
[e5  2287.2s]     step 1350/2000 loss 1.9988
[e5  2295.0s]     step 1400/2000 loss 1.9711
[e5  2302.8s]     step 1450/2000 loss 1.8965
[e5  2310.6s]     step 1500/2000 loss 2.2044
[e5  2318.5s]     step 1550/2000 loss 1.8811
[e5  2326.2s]     step 1600/2000 loss 1.9228
[e5  2334.3s]     step 1650/2000 loss 2.0345
[e5  2342.0s]     step 1700/2000 loss 2.0898
[e5  2349.5s]     step 1750/2000 loss 1.9284
[e5  2357.5s]     step 1800/2000 loss 2.2778
[e5  2365.3s]     step 1850/2000 loss 1.9391
[e5  2373.3s]     step 1900/2000 loss 1.9488
[e5  2381.1s]     step 1950/2000 loss 1.9614
[e5  2389.0s]     step 1999/2000 loss 2.0000
[e5  2395.3s]   arm=true seed=2: seenAcc=0.8020 nonceAcc=0.4250 valCE=2.3124
[e5  2395.3s] train arm=true seed=3 lr=0.003
[e5  2396.7s]     step 0/2000 loss 4.1282
[e5  2404.5s]     step 50/2000 loss 3.8213
[e5  2412.6s]     step 100/2000 loss 3.0647
[e5  2420.5s]     step 150/2000 loss 3.2739
[e5  2428.3s]     step 200/2000 loss 3.0310
[e5  2436.1s]     step 250/2000 loss 3.1081
[e5  2444.2s]     step 300/2000 loss 2.6144
[e5  2451.9s]     step 350/2000 loss 2.7884
[e5  2459.8s]     step 400/2000 loss 2.6865
[e5  2467.5s]     step 450/2000 loss 2.4390
[e5  2475.3s]     step 500/2000 loss 2.4854
[e5  2483.3s]     step 550/2000 loss 2.5665
[e5  2491.0s]     step 600/2000 loss 2.4786
[e5  2499.0s]     step 650/2000 loss 2.3113
[e5  2506.8s]     step 700/2000 loss 2.3379
[e5  2514.4s]     step 750/2000 loss 2.3802
[e5  2522.5s]     step 800/2000 loss 2.3885
[e5  2530.5s]     step 850/2000 loss 2.5096
[e5  2538.3s]     step 900/2000 loss 2.3144
[e5  2546.2s]     step 950/2000 loss 2.4419
[e5  2554.2s]     step 1000/2000 loss 2.2095
[e5  2562.0s]     step 1050/2000 loss 2.3394
[e5  2569.9s]     step 1100/2000 loss 2.2143
[e5  2577.6s]     step 1150/2000 loss 2.2728
[e5  2585.5s]     step 1200/2000 loss 2.2799
[e5  2593.5s]     step 1250/2000 loss 2.3639
[e5  2601.3s]     step 1300/2000 loss 2.3478
[e5  2609.2s]     step 1350/2000 loss 2.0865
[e5  2617.1s]     step 1400/2000 loss 2.1999
[e5  2624.9s]     step 1450/2000 loss 2.2532
[e5  2632.8s]     step 1500/2000 loss 2.3250
[e5  2640.7s]     step 1550/2000 loss 2.2675
[e5  2648.8s]     step 1600/2000 loss 1.9250
[e5  2656.3s]     step 1650/2000 loss 2.1391
[e5  2664.2s]     step 1700/2000 loss 2.2145
[e5  2672.0s]     step 1750/2000 loss 2.3451
[e5  2680.0s]     step 1800/2000 loss 2.1757
[e5  2687.9s]     step 1850/2000 loss 2.1759
[e5  2695.8s]     step 1900/2000 loss 2.2957
[e5  2703.6s]     step 1950/2000 loss 2.2174
[e5  2711.4s]     step 1999/2000 loss 2.0668
[e5  2717.7s]   arm=true seed=3: seenAcc=0.7600 nonceAcc=0.4583 valCE=2.3882
[e5  2717.7s] train arm=true seed=4 lr=0.003
[e5  2719.1s]     step 0/2000 loss 4.2334
[e5  2726.8s]     step 50/2000 loss 3.6518
[e5  2734.8s]     step 100/2000 loss 3.3267
[e5  2742.7s]     step 150/2000 loss 2.8352
[e5  2750.2s]     step 200/2000 loss 2.7959
