$ /usr/local/bin/python /root/kot/poc/e9/runner/e9_runner.py --inputs-dir /root/kot/poc/e9/inputs --out-dir /tmp/e9-results --device cuda
[e9     3.2s] mode=FULL device=cuda seeds=[0, 1, 2, 3, 4] steps=2000 sweep=[0.0003, 0.001, 0.003]@1000 batch=32 arms=['true', 'shuffled', 'defl']
[e9    10.2s] sequences: 1800 train / 200 val / 500 seen-eval / 120 nonce-eval
[e9    10.2s] sweep arm=true lr=0.0003
[e9  2389.6s]   arm=true seed=2: seenAcc=0.8020 nonceAcc=0.4250 valCE=2.3124
[e9  2389.6s] train arm=true seed=3 lr=0.003
[e9  2390.9s]     step 0/2000 loss 4.1282
[e9  2398.7s]     step 50/2000 loss 3.8213
[e9  2406.8s]     step 100/2000 loss 3.0647
[e9  2414.7s]     step 150/2000 loss 3.2739
[e9  2422.5s]     step 200/2000 loss 3.0310
[e9  2430.2s]     step 250/2000 loss 3.1081
[e9  2438.3s]     step 300/2000 loss 2.6144
[e9  2446.0s]     step 350/2000 loss 2.7884
[e9  2453.9s]     step 400/2000 loss 2.6865
[e9  2461.6s]     step 450/2000 loss 2.4390
[e9  2469.3s]     step 500/2000 loss 2.4854
[e9  2477.3s]     step 550/2000 loss 2.5665
[e9  2485.1s]     step 600/2000 loss 2.4786
[e9  2493.0s]     step 650/2000 loss 2.3113
[e9  2500.8s]     step 700/2000 loss 2.3379
[e9  2508.4s]     step 750/2000 loss 2.3802
[e9  2516.4s]     step 800/2000 loss 2.3885
[e9  2524.4s]     step 850/2000 loss 2.5096
[e9  2532.3s]     step 900/2000 loss 2.3144
[e9  2540.1s]     step 950/2000 loss 2.4419
[e9  2548.1s]     step 1000/2000 loss 2.2095
[e9  2555.9s]     step 1050/2000 loss 2.3394
[e9  2563.8s]     step 1100/2000 loss 2.2143
[e9  2571.5s]     step 1150/2000 loss 2.2728
[e9  2579.4s]     step 1200/2000 loss 2.2799
[e9  2587.4s]     step 1250/2000 loss 2.3639
[e9  2595.2s]     step 1300/2000 loss 2.3478
[e9  2603.1s]     step 1350/2000 loss 2.0865
[e9  2611.0s]     step 1400/2000 loss 2.1999
[e9  2618.8s]     step 1450/2000 loss 2.2532
[e9  2626.6s]     step 1500/2000 loss 2.3250
[e9  2634.5s]     step 1550/2000 loss 2.2675
[e9  2642.6s]     step 1600/2000 loss 1.9250
[e9  2650.0s]     step 1650/2000 loss 2.1391
[e9  2658.0s]     step 1700/2000 loss 2.2145
[e9  2665.8s]     step 1750/2000 loss 2.3451
[e9  2673.7s]     step 1800/2000 loss 2.1757
[e9  2681.6s]     step 1850/2000 loss 2.1759
[e9  2689.5s]     step 1900/2000 loss 2.2957
[e9  2697.3s]     step 1950/2000 loss 2.2174
[e9  2705.0s]     step 1999/2000 loss 2.0668
[e9  2711.3s]   arm=true seed=3: seenAcc=0.7600 nonceAcc=0.4583 valCE=2.3882
[e9  2711.3s] train arm=true seed=4 lr=0.003
[e9  2712.7s]     step 0/2000 loss 4.2334
[e9  2720.5s]     step 50/2000 loss 3.6518
[e9  2728.4s]     step 100/2000 loss 3.3267
[e9  2736.3s]     step 150/2000 loss 2.8352
[e9  2743.7s]     step 200/2000 loss 2.7959
[e9  2751.8s]     step 250/2000 loss 2.5676
[e9  2759.7s]     step 300/2000 loss 2.5163
[e9  2767.5s]     step 350/2000 loss 2.1593
[e9  2775.2s]     step 400/2000 loss 2.5118
[e9  2783.3s]     step 450/2000 loss 2.5585
[e9  2791.1s]     step 500/2000 loss 2.2319
[e9  2798.9s]     step 550/2000 loss 2.1483
[e9  2806.9s]     step 600/2000 loss 2.4501
[e9  2814.8s]     step 650/2000 loss 2.1058
[e9  2822.5s]     step 700/2000 loss 2.3607
[e9  2830.3s]     step 750/2000 loss 2.1566
[e9  2838.0s]     step 800/2000 loss 2.0770
[e9  2846.0s]     step 850/2000 loss 2.1145
[e9  2854.0s]     step 900/2000 loss 1.8962
[e9  2861.8s]     step 950/2000 loss 1.9720
[e9  2869.6s]     step 1000/2000 loss 1.7820
[e9  2877.5s]     step 1050/2000 loss 1.9543
[e9  2885.3s]     step 1100/2000 loss 2.0534
[e9  2893.2s]     step 1150/2000 loss 2.1657
[e9  2901.0s]     step 1200/2000 loss 1.7592
[e9  2908.8s]     step 1250/2000 loss 1.8949
[e9  2916.8s]     step 1300/2000 loss 2.0492
[e9  2924.8s]     step 1350/2000 loss 1.9091
[e9  2932.7s]     step 1400/2000 loss 1.9544
[e9  2940.6s]     step 1450/2000 loss 1.7830
[e9  2948.5s]     step 1500/2000 loss 1.8757
[e9  2956.3s]     step 1550/2000 loss 1.5018
[e9  2964.1s]     step 1600/2000 loss 1.8583
[e9  2971.8s]     step 1650/2000 loss 1.7644
[e9  2979.6s]     step 1700/2000 loss 1.7023
[e9  2987.3s]     step 1750/2000 loss 1.6582
[e9  2995.1s]     step 1800/2000 loss 1.5835
[e9  3003.0s]     step 1850/2000 loss 1.6986
[e9  3011.0s]     step 1900/2000 loss 1.8885
[e9  3018.7s]     step 1950/2000 loss 1.5554
[e9  3026.3s]     step 1999/2000 loss 1.7448
[e9  3032.6s]   arm=true seed=4: seenAcc=0.8220 nonceAcc=0.5083 valCE=2.1219
[e9  3032.6s] train arm=shuffled seed=0 lr=0.003
[e9  3033.9s]     step 0/2000 loss 4.3563
[e9  3041.7s]     step 50/2000 loss 3.8916
[e9  3049.6s]     step 100/2000 loss 3.4663
[e9  3057.3s]     step 150/2000 loss 3.3140
[e9  3065.2s]     step 200/2000 loss 3.1540
[e9  3072.7s]     step 250/2000 loss 2.9855
[e9  3080.4s]     step 300/2000 loss 3.0783
[e9  3088.5s]     step 350/2000 loss 2.8495
[e9  3096.5s]     step 400/2000 loss 2.9923
[e9  3104.3s]     step 450/2000 loss 2.8110
[e9  3112.1s]     step 500/2000 loss 2.8254
[e9  3120.1s]     step 550/2000 loss 2.7484
[e9  3128.3s]     step 600/2000 loss 2.8088
[e9  3135.8s]     step 650/2000 loss 2.6594
[e9  3143.9s]     step 700/2000 loss 2.6467
[e9  3151.7s]     step 750/2000 loss 2.6342
[e9  3159.6s]     step 800/2000 loss 2.5359
[e9  3167.6s]     step 850/2000 loss 2.6642
[e9  3175.3s]     step 900/2000 loss 2.6978
[e9  3183.0s]     step 950/2000 loss 2.8049
[e9  3190.9s]     step 1000/2000 loss 2.5010
[e9  3198.6s]     step 1050/2000 loss 2.2859
[e9  3206.4s]     step 1100/2000 loss 2.3442
[e9  3214.5s]     step 1150/2000 loss 2.1017
[e9  3222.5s]     step 1200/2000 loss 2.5601
[e9  3230.3s]     step 1250/2000 loss 2.5413
[e9  3237.9s]     step 1300/2000 loss 2.2399
[e9  3245.9s]     step 1350/2000 loss 2.2775
[e9  3253.8s]     step 1400/2000 loss 2.3697
[e9  3261.5s]     step 1450/2000 loss 2.6110
[e9  3269.3s]     step 1500/2000 loss 2.3201
[e9  3276.9s]     step 1550/2000 loss 2.2810
[e9  3285.0s]     step 1600/2000 loss 2.3776
[e9  3292.9s]     step 1650/2000 loss 2.2490
